symbol,window_start,window_end,regime,trades,wins,losses,gross_profit,gross_loss,total_return_pct,max_drawdown_pct,exit_reasons
1HZ75V,2026-03-06,2026-06-04,ranging/high-vol,6,2,4,2.74,2.10,6.41,9.37,"BIAS_REVERSAL:5 TP:1"
1HZ75V,2026-04-05,2026-07-04,ranging/high-vol,4,1,3,1.14,1.31,-1.71,10.07,"BIAS_REVERSAL:4"
1HZ90V,2025-07-09,2025-10-07,ranging/high-vol,3,0,3,0.00,1.35,-13.49,13.49,"SL:1 BIAS_REVERSAL:2"
1HZ90V,2025-08-08,2025-11-06,ranging/high-vol,3,1,2,0.10,0.55,-4.47,5.49,"BIAS_REVERSAL:2 EOD_MARK:1"
1HZ90V,2025-09-07,2025-12-06,ranging/high-vol,3,0,3,0.00,1.26,-12.57,12.57,"BIAS_REVERSAL:2 SL:1"
1HZ90V,2025-10-07,2026-01-05,ranging/high-vol,3,0,3,0.00,1.46,-14.61,14.61,"SL:1 BIAS_REVERSAL:2"
1HZ90V,2025-11-06,2026-02-04,ranging/high-vol,3,0,3,0.00,0.75,-7.53,7.53,"BIAS_REVERSAL:2 EOD_MARK:1"
1HZ90V,2025-12-06,2026-03-06,ranging/high-vol,1,1,0,0.01,0.00,0.07,0,"EOD_MARK:1"
1HZ90V,2026-01-05,2026-04-05,ranging/high-vol,1,0,1,0.00,0.15,-1.47,1.47,"BIAS_REVERSAL:1"
1HZ90V,2026-02-04,2026-05-05,ranging/high-vol,2,1,1,0.32,0.57,-2.44,5.65,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ90V,2026-03-06,2026-06-04,ranging/high-vol,3,1,2,0.73,0.95,-2.19,8.87,"BIAS_REVERSAL:2 SL:1"
1HZ90V,2026-04-05,2026-07-04,ranging/high-vol,3,1,2,0.73,0.95,-2.19,8.87,"BIAS_REVERSAL:2 SL:1"
