symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
frxUSDJPY,sell,2025-09-09T09:00:00.000Z,146.626,2025-10-09T00:00:00.000Z,152.611,1,10,-0.41,BIAS_REVERSAL,9.50
1HZ15V,buy,2025-09-09T18:00:00.000Z,13461.587,2025-09-14T00:00:00.000Z,13442.1,1,10,-0.01,BIAS_REVERSAL,10.10
STPRNG2,sell,2025-09-10T21:00:00.000Z,10541.6,2025-09-19T00:00:00.000Z,10778.6,1,10,-0.22,BIAS_REVERSAL,10.04
R_75,sell,2025-09-12T17:30:00.000Z,74410.7313,2025-10-26T05:15:00.000Z,50599.29728399999,1,5,1.60,TP,11.97
STPRNG,sell,2025-09-13T02:45:00.000Z,8166.9,2025-11-03T00:00:00.000Z,8130.5,1,10,0.04,BIAS_REVERSAL,9.87
JD25,sell,2025-09-13T06:45:00.000Z,109437.76,2025-10-12T19:45:00.000Z,118192.78080000001,1,10,-0.80,SL,8.61
1HZ50V,buy,2025-09-13T11:00:00.000Z,222771.71,2025-09-16T06:15:00.000Z,204949.9732,1,10,-0.80,SL,8.40
frxEURUSD,buy,2025-09-16T07:00:00.000Z,1.17875,2025-10-14T00:00:00.000Z,1.1559,1,10,-0.19,BIAS_REVERSAL,9.49
frxEURAUD,buy,2025-09-19T14:15:00.000Z,1.78329,2025-09-25T00:00:00.000Z,1.78294,1,10,-0.00,BIAS_REVERSAL,9.98
JD100,sell,2025-09-19T22:45:00.000Z,1728.58,2025-10-12T00:00:00.000Z,1341.3,1,5,1.12,BIAS_REVERSAL,11.04
STPRNG2,sell,2025-09-20T20:00:00.000Z,10648.8,2025-10-06T00:00:00.000Z,10649.6,1,10,-0.00,BIAS_REVERSAL,10.04
1HZ25V,sell,2025-09-22T07:45:00.000Z,630021.89,2025-09-27T00:00:00.000Z,648476.66,1,10,-0.29,BIAS_REVERSAL,10.54
frxXAGUSD,buy,2025-09-23T11:15:00.000Z,44.277,2025-10-13T03:15:00.000Z,51.36132,1,10,1.60,TP,13.20
CRASH600,buy,2025-09-23T16:00:00.000Z,19280.957,2025-10-04T00:00:00.000Z,17901.716,1,5,-0.36,BIAS_REVERSAL,9.32
STPRNG3,buy,2025-09-23T19:15:00.000Z,10772.8,2025-09-28T00:00:00.000Z,10844.2,1,10,0.07,BIAS_REVERSAL,10.77
frxUSDCAD,buy,2025-09-24T07:00:00.000Z,1.38541,2025-12-01T00:00:00.000Z,1.39779,1,10,0.09,BIAS_REVERSAL,10.11
JD50,buy,2025-09-25T09:00:00.000Z,45324.23,2025-11-09T12:45:00.000Z,52576.1068,1,10,1.60,TP,13.80
1HZ10V,buy,2025-09-30T04:00:00.000Z,9414.68,2025-10-12T00:00:00.000Z,9395.22,1,10,-0.02,BIAS_REVERSAL,10.16
R_100,sell,2025-10-01T09:00:00.000Z,990.84,2025-11-29T20:15:00.000Z,673.7711999999999,1,5,1.60,TP,10.29
CRASH500,sell,2025-10-01T10:00:00.000Z,2878.998,2025-10-13T00:00:00.000Z,2917.365,1,5,-0.07,BIAS_REVERSAL,10.50
R_25,sell,2025-10-02T05:15:00.000Z,2594.599,2025-11-14T00:00:00.000Z,2702.71,1,10,-0.42,BIAS_REVERSAL,9.30
frxXAUUSD,buy,2025-10-06T07:45:00.000Z,3933.09,2026-01-12T00:15:00.000Z,4562.3844,1,10,1.60,TP,13.10
BOOM600,buy,2025-10-06T13:15:00.000Z,6659.4,2025-10-15T00:00:00.000Z,6404.369,1,5,-0.19,BIAS_REVERSAL,9.52
STPRNG3,buy,2025-10-08T03:30:00.000Z,11305.9,2025-11-17T00:00:00.000Z,11338.9,1,10,0.03,BIAS_REVERSAL,10.80
CRASH500,buy,2025-10-13T03:15:00.000Z,2924.892,2025-10-15T00:00:00.000Z,2911.494,1,5,-0.02,BIAS_REVERSAL,10.47
frxXAGUSD,buy,2025-10-13T12:45:00.000Z,51.5748,2025-10-27T11:00:00.000Z,47.44881600000001,1,10,-0.80,SL,12.40
JD10,buy,2025-10-14T05:15:00.000Z,92960.35,2025-11-04T00:00:00.000Z,94680.53,1,10,0.19,BIAS_REVERSAL,10.09
STPRNG2,buy,2025-10-14T10:00:00.000Z,10814.2,2025-10-28T00:00:00.000Z,11082,1,10,0.25,BIAS_REVERSAL,10.28
frxEURCHF,sell,2025-10-17T10:15:00.000Z,0.92341,2025-11-20T00:00:00.000Z,0.92943,1,10,-0.07,BIAS_REVERSAL,9.86
BOOM500,buy,2025-10-18T14:45:00.000Z,5306.548,2025-11-29T00:00:00.000Z,5498.407,1,5,0.18,BIAS_REVERSAL,10.92
BOOM600,sell,2025-10-20T03:30:00.000Z,6103.192,2025-10-26T00:00:00.000Z,6194.671,1,5,-0.07,BIAS_REVERSAL,9.45
BOOM1000,sell,2025-10-22T06:00:00.000Z,17604.149,2025-12-16T00:00:00.000Z,16984.996,1,5,0.18,BIAS_REVERSAL,10.26
JD25,buy,2025-10-23T01:00:00.000Z,128106.93,2025-10-30T00:00:00.000Z,128606.81,1,10,0.04,BIAS_REVERSAL,8.65
1HZ25V,buy,2025-10-25T01:30:00.000Z,709290.28,2025-11-08T00:00:00.000Z,666319.78,1,10,-0.61,BIAS_REVERSAL,9.93
R_75,sell,2025-10-26T05:15:00.000Z,50772.541,2025-11-29T00:00:00.000Z,40204.0835,1,5,1.04,BIAS_REVERSAL,13.01
cryBTCUSD,buy,2025-10-26T11:30:00.000Z,112649.544,2025-10-30T00:00:00.000Z,110103.988,1,5,-0.11,BIAS_REVERSAL,9.65
1HZ75V,buy,2025-10-29T17:00:00.000Z,4816,2025-11-04T00:00:00.000Z,4432.72,1,5,-0.40,BIAS_REVERSAL,8.80
CRASH500,buy,2025-10-30T02:00:00.000Z,3422.137,2025-11-12T00:00:00.000Z,3091.856,1,5,-0.48,BIAS_REVERSAL,9.99
frxNZDUSD,sell,2025-11-04T09:00:00.000Z,0.56757,2025-11-28T00:00:00.000Z,0.57304,1,10,-0.10,BIAS_REVERSAL,9.86
JD10,buy,2025-11-05T05:15:00.000Z,95535.65,2025-11-15T00:00:00.000Z,94723.03,1,10,-0.09,BIAS_REVERSAL,10.01
1HZ75V,buy,2025-11-05T08:30:00.000Z,4589.7,2025-12-01T00:00:00.000Z,4205.26,1,5,-0.42,BIAS_REVERSAL,8.38
JD25,buy,2025-11-06T03:00:00.000Z,127800.89,2025-11-15T00:00:00.000Z,119954.46,1,10,-0.61,BIAS_REVERSAL,8.04
